City,Coordinates,Pollutant,Unit,Value,Last Updated,Country Label
Lot-et-Garonne,"44.1922219994633, 0.623889",PM10,µg/m³,16.0,2018-12-27T08:00:00+01:00,France
ATMO HAUTS DE FRANCE,"50.1724794592506, 3.23606403005364",PM2.5,µg/m³,4.6,2018-12-10T10:00:00+01:00,France
Côtes-d'Armor,"48.5166689994673, -2.75",PM10,µg/m³,15.38,2018-04-25T16:00:00+02:00,France
Paris,"48.8594439994682, 2.351111",CO,µg/m³,225.0,2018-04-25T02:00:00+02:00,France
Indre-et-Loire,"47.344499999465, 0.653322",O3,µg/m³,79.75,2018-04-25T02:00:00+02:00,France
Nord,"51.0191639994752, 2.250833",NO2,µg/m³,5.1,2018-04-25T02:00:00+02:00,France
AIR RHONE ALPES,"45.5259808277432, 4.8754085751962",NO2,µg/m³,27.5,2016-12-05T02:00:00+01:00,France
ATMO AUVERGNE,"46.5618635984186, 3.3310878208078",NO2,µg/m³,29.0,2016-12-01T21:00:00+01:00,France
Charente-Maritime,"46.1351274855708, -1.11704607264978",O3,µg/m³,55.0,2023-02-27T06:00:00+01:00,France
Doubs,"47.5103033076458, 6.79400340956015",NO2,µg/m³,5.9,2023-02-27T06:00:00+01:00,France
Nord,"50.9810365881355, 2.14317365539383",PM10,µg/m³,11.9,2023-02-27T05:00:00+01:00,France
Seine-Maritime,"49.4876841957776, 0.451755569861434",SO2,µg/m³,-0.4,2023-02-27T06:00:00+01:00,France
Meurthe-et-Moselle,"48.8864130722716, 6.09361393199068",NO2,µg/m³,8.8,2023-02-27T06:00:00+01:00,France
Calvados,"49.1472284204992, 0.22722166459576",PM10,µg/m³,7.3,2023-02-27T06:00:00+01:00,France
Loire,"45.4817833259067, 4.42966453121609",PM10,µg/m³,5.1,2023-02-27T06:00:00+01:00,France
Nord,"50.3585299553631, 3.50803796547367",NO2,µg/m³,13.3,2023-02-27T06:00:00+01:00,France
Creuse,"46.1699762563887, 1.86999597749308",PM10,µg/m³,1.6,2023-02-27T05:00:00+01:00,France
Corrèze,"45.260022389241, 1.75999727095265",NO2,µg/m³,3.7,2023-02-27T06:00:00+01:00,France
Nièvre,"46.9966666387206, 3.17083735727372",O3,µg/m³,66.5,2023-02-27T06:00:00+01:00,France
Yonne,"47.8005658610427, 3.57639077544232",NO2,µg/m³,15.75,2018-07-11T10:00:00+02:00,France
Saône-et-Loire,"46.7824722190452, 4.84726435734473",NO2,µg/m³,10.2,2023-02-27T06:00:00+01:00,France
Charente,"45.6514582171942, 0.162366894343467",PM10,µg/m³,10.2,2023-02-27T05:00:00+01:00,France
Isère,"45.1806746477571, 5.72005850424242",PM10,µg/m³,8.3,2023-02-27T05:00:00+01:00,France
